#plotFingerprint --outRawCounts
'SPT5_T0_REP1'	'SPT5_INPUT_REP1'
7723	918
268	496
2	204
492	458
17	752
272	423
128	0
5608	435
758	547
0	432
194	275
76	500
151	353
308	267
584	537
505	240
8326	1191
76	344
0	145
0	343
6795	731
152	68
0	393
257	397
75	81
224	209
0	323
0	49
2565	1882
84	472
108	399
0	49
124	163
0	240
74	149
262	467
245	609
482	149
511	1228
0	245
411	562
304	427
290	656
30	221
398	199
286	331
20	97
843	100
0	75
1190	354
150	591
0	519
0	492
6017	81
219	259
0	441
100	99
251	843
6553	200
0	157
140	197
222	364
76	331
100	157
0	353
150	221
2145	596
410	594
76	497
34	509
268	100
0	298
0	147
373	50
0	198
76	206
152	325
446	415
75	386
6	0
228	394
259	656
0	200
302	50
152	375
0	244
206	176
140	0
733	259
0	691
76	275
152	397
1420	146
727	0
257	294
38	530
0	104
55	330
135	398
65	544
