UniqueCount	AmbigCount
1	0
0	0
3	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
8	3
22	0
15	0
53	0
0	0
23	0
27	0
0	0
49	0
1	0
5	0
129	0
60	0
37	0
21	0
0	0
23	0
3	0
0	0
3	0
57	0
67	0
0	0
146	0
65	0
44	0
17	0
6374	0
0	0
0	0
5	0
59	0
481	0
0	0
2	0
16	0
12	0
14	0
0	0
40	0
13	0
177	0
8	0
10	0
11	0
166	0
0	0
29	0
52	0
323	0
36	0
102	0
8	0
0	0
110	2
0	0
114	0
0	0
0	0
160	0
12	0
20	0
18	0
231	0
24	0
12	0
15	0
17	0
56	0
0	0
6333	26
0	0
810	0
8	0
33	0
71	0
60	0
78	0
17	0
67	0
14	0
17126	26
6069	16
0	0
61	0
63	0
14	0
35	0
0	0
0	0
1	0
0	0
0	0
33	0
13	0
1	0
0	0
13	0
12	0
4	0
0	0
105	0
0	0
6	5
0	0
0	0
0	0
0	0
0	0
6	0
9	0
0	0
0	0
0	0
